country,isic2,upstreamness,downstreamness,u_n,u_d,d_n,d_d,dd_logU,centrality
KHM,3,1.695632131832142,1.570500987242072,162749.7002569342,62829.27611557252,27401.12544416678,17961.77713131637,.52805561,.92620385
KHM,5,2.1189058540741,1.714710588189581,39474.51659374554,13900.41534416199,3598.630380167779,2109.434919559939,.75089985,.80924338
KHM,6,2.1189058540741,1.714710588189581,39474.51659374554,13900.41534416199,3598.630380167779,2109.434919559939,.75089985,.80924338
KHM,7,2.1189058540741,1.714710588189581,39474.51659374554,13900.41534416199,3598.63038016778,2109.434919559938,.75089985,.80924338
KHM,8,2.1189058540741,1.714710588189581,39474.51659374554,13900.41534416199,3598.630380167779,2109.434919559938,.75089985,.80924338
KHM,9,2.1189058540741,1.714710588189581,39474.51659374554,13900.41534416199,3598.63038016778,2109.434919559938,.75089985,.80924338
KHM,10,1.48219167754542,2.633815429701915,33212.32021425891,22567.85771667455,171430.6707803251,65385.88820617026,.39352185,.56275457
KHM,11,1.48219167754542,2.633815429701915,33212.32021425892,22567.85771667454,171430.6707803251,65385.88820617026,.39352185,.56275457
KHM,12,1.48219167754542,2.633815429701915,33212.32021425891,22567.85771667455,171430.6707803251,65385.88820617026,.39352185,.56275457
KHM,13,1.490160411607977,2.657053271207838,23154.9226366726,18169.52956273885,261234.0515435791,90432.88511385882,.39888376,.56083196
KHM,14,1.490160411607977,2.657053271207838,23154.9226366726,18169.52956273885,261234.0515435791,90432.88511385882,.39888376,.56083196
KHM,15,1.490160411607977,2.657053271207838,23154.9226366726,18169.52956273885,261234.0515435791,90432.88511385882,.39888376,.56083196
KHM,16,2.526171557109371,2.188028802199604,55029.63487930327,19731.41130018345,14407.55008966587,5724.186921817533,.92670494,.86614418
KHM,17,2.423872434901717,2.551974057531195,55124.79961913179,19771.43282407965,14548.06470792847,5776.106434109397,.88536644,.94980294
KHM,18,2.423872434901717,2.551974057531195,55124.79961913179,19771.43282407965,14548.06470792847,5776.106434109397,.88536644,.94980294
KHM,19,2.308243203024065,3.011446142342912,103763.603580301,41719.86420733253,73123.61260529494,27025.34766736296,.8364867,.76648992
KHM,20,2.240079424656811,2.299721834451779,103926.1736544045,41791.22713528526,73201.9567470052,27065.48854135596,.80651134,.97406536
KHM,21,1.412125689034267,2.11257373258823,190253.0372759633,76505.48171519673,134032.8537914561,49549.4172443047,.34509614,.66843855
KHM,22,2.101805317551595,2.92186562981093,103975.4265430612,41821.16602350528,73546.99422177438,27166.03234952117,.74279666,.71933675
KHM,23,1.938088027670684,2.051354336228138,103896.4417191097,41790.95624558671,73186.32640511106,27067.66988832277,.66170192,.94478464
KHM,24,3.077090616792831,2.749528333153199,38613.53066802965,12376.75658616474,4730.551100644012,1674.789253322119,1.1239846,.89354807
KHM,25,1.996861444709988,2.476978302116619,53938.05158315739,17431.07690497644,7074.727196575133,2511.787129777777,.69157666,.80616832
