hs4,year,month,pred_exposure,notif_count
0101,2021,3,0.015037527489871156,1
0101,2021,5,0.054302557054167505,1
0101,2021,6,0.2050921129553933,2
0101,2021,7,0.11168299039691289,1
0101,2021,8,0.10973468198019085,2
0101,2021,12,0.062340394711994165,1
0101,2022,2,0.03322780751836003,1
0101,2022,3,0.054454233463304,2
0101,2022,4,0.033669559124583553,1
0101,2022,5,0.03972973578043647,1
0101,2022,6,0.05034126021796652,1
0101,2022,7,0.026548863950622073,1
0101,2022,8,0.026665980112216593,1
0101,2022,9,0.041047696923930094,1
0101,2022,10,0.03426782708467241,1
0101,2022,11,0.031770611112428515,1
0101,2023,1,0.028278331350745516,1
0101,2023,4,0.05973496765468234,1
0101,2023,5,0.021588134405733456,1
0101,2023,7,0.06084280734486666,1
0101,2023,9,0.039246054972061406,1
0101,2023,10,0.033871674057105935,1
0101,2023,11,0.02851916308076969,2
0101,2023,12,0.022765087874888693,1
0101,2024,1,0.057220955301074836,2
0101,2024,2,0.03214037852268698,1
0101,2024,8,0.05489849756940205,1
0101,2025,4,0.07365364759436929,1
0102,2021,3,0.018921607122789303,1
0102,2021,4,0.056724724577271554,1
0102,2021,5,0.06832849689112103,1
0102,2021,6,0.25806585477157645,2
0102,2021,7,0.14052986224045416,1
0102,2021,8,0.1380783204933106,2
0102,2021,12,0.07844244723173384,1
0102,2022,2,0.04181029892298205,1
0102,2022,3,0.06851935016972081,2
0102,2022,4,0.042366151628451934,1
0102,2022,5,0.04999162608587089,1
0102,2022,6,0.06334402703849198,1
0102,2022,7,0.03340623473961536,1
0102,2022,8,0.0335536011200867,1
0102,2022,9,0.05165000662596208,1
0102,2022,10,0.04311894767837297,1
0102,2022,11,0.039976719705098744,1
0102,2023,1,0.03558241049050591,1
0102,2023,4,0.07516405806843918,1
0102,2023,5,0.027164186267616183,1
0102,2023,7,0.07655804437282464,1
0102,2023,9,0.04938301418241333,1
0102,2023,10,0.042620471319598875,1
0102,2023,11,0.0358854472351628,2
0102,2023,12,0.028645137917424283,1
0102,2024,1,0.07200069533551373,2
0102,2024,2,0.04044199524114911,1
0102,2024,3,0.09335729188591833,1
0102,2024,8,0.06907836433478262,1
0102,2025,4,0.09267782777984947,1
0103,2021,3,0.01380060542739759,1
0103,2021,5,0.04983586324999845,1
0103,2021,6,0.18822212156054996,2
0103,2021,7,0.10249642997878469,1
0103,2021,8,0.10070838099744985,2
0103,2021,12,0.05721254309845495,1
0103,2022,2,0.03049463158669383,1
0103,2022,3,0.049975063412827564,2
0103,2022,4,0.03090004661376636,1
0103,2022,5,0.03646173931252188,1
0103,2022,6,0.04620040558223815,1
0103,2022,7,0.02436506906969814,1
0103,2022,8,0.024472551761678316,1
0103,2022,9,0.03767129066478034,1
0103,2022,10,0.03144910363544773,1
0103,2022,11,0.029157297863312222,1
0103,2023,1,0.025952277951259775,1
0103,2023,4,0.05482142721773285,1
