model,0.1,0.15,0.2,0.25
Country-only,0.2831,0.2422,0.2138,0.1859
DistilBERT,0.2852,0.2464,0.2079,0.1849
Embeddings + Country (SBERT),0.2742,0.239,0.2118,0.1853
Text + Country (TF-IDF),0.2778,0.244,0.2135,0.1896
Text-only (TF-IDF),0.2504,0.213,0.1776,0.1542
