model,n,roc_auc,avg_precision,precision_top10pct
SBERT + country,10404,0.5764673901591245,0.21997579997738043,0.25360230547550433
TF-IDF + country,10404,0.5737005156646042,0.21779530192782176,0.23535062439961577
Country-only,10404,0.5785106007758549,0.21384752056537168,0.21902017291066284
DistilBERT,10404,0.5019435571024045,0.18067424527462372,0.1777137367915466
TF-IDF text-only,10404,0.49716366907557663,0.17723110651033552,0.17579250720461095
