scope,country,variable,mean_high_risk,mean_rest,diff_high_minus_rest,n
within_exporter,Cambodia,centrality,0.7214165580300081,0.7147034133576056,0.006713144672402582,627
within_exporter,Cambodia,dd_logU,0.5984857361404159,0.5752810684388371,0.023204667701578807,627
within_exporter,Indonesia,centrality,0.7646872646519167,0.7581494251531571,0.0065378394987596344,1283
within_exporter,Indonesia,dd_logU,0.6340379176825761,0.6365535231439663,-0.00251560546139018,1283
within_exporter,Laos,centrality,0.7515385376202969,0.7491607921538227,0.0023777454664741793,133
within_exporter,Laos,dd_logU,0.5244975572628401,0.45677058128478254,0.06772697597805755,133
within_exporter,Malaysia,centrality,0.7443198103133931,0.7501029855570918,-0.005783175243698646,1461
within_exporter,Malaysia,dd_logU,0.7567489687849647,0.7741967942993813,-0.017447825514416593,1461
within_exporter,Myanmar (Burma),centrality,0.6583475029385496,0.6269543040212336,0.031393198917315956,281
within_exporter,Myanmar (Burma),dd_logU,0.6575619250607653,0.6272338524034796,0.030328072657285654,281
within_exporter,Philippines,centrality,0.7842615330847962,0.8011085710158189,-0.016847037931022713,1066
within_exporter,Philippines,dd_logU,0.6293491574405918,0.6593189837420764,-0.029969826301484592,1066
within_exporter,Thailand,centrality,0.7386582209299315,0.7471823424790565,-0.008524121549124963,1696
within_exporter,Thailand,dd_logU,0.7549918422507863,0.7691120801220718,-0.014120237871285468,1696
within_exporter,Vietnam,centrality,0.6961579125242061,0.7152189549370613,-0.019061042412855222,1748
within_exporter,Vietnam,dd_logU,0.759116326786148,0.7856281091998945,-0.02651178241374641,1748
pooled_exporter_fe,ALL,centrality,-0.005479497931195522,0.0005913495830648134,-0.006070847514260335,8295
pooled_exporter_fe,ALL,dd_logU,-0.010409779992793052,0.0011234275723489928,-0.011533207565142044,8295
