model,0.1,0.15,0.2,0.25
Country-only,0.5687,0.5627,0.5785,0.5798
DistilBERT,0.55,0.551,0.5616,0.5646
Embeddings + Country (SBERT),0.533,0.5352,0.557,0.5634
Text + Country (TF-IDF),0.5459,0.5521,0.5628,0.5715
Text-only (TF-IDF),0.4967,0.4947,0.497,0.4977
