country,hs4,date,import_value,year,month,log_import,growth,growth_3m,pred_exposure,notif_count
Cambodia,0106,2020-01-01,621000.0,2020,1,13.339087971220277,,,0.0,
Cambodia,0106,2020-02-01,1525500.0,2020,2,14.237833438661426,0.8987454674411488,,0.0,
Cambodia,0106,2020-03-01,1418400.0,2020,3,14.165040738761627,-0.0727926998997983,,0.0,
Cambodia,0106,2020-04-01,4064305.0,2020,4,15.217753560681498,1.0527128219198705,1.878665589461221,0.0,
Cambodia,0106,2020-05-01,2484000.0,2020,5,14.725381124611914,-0.4923724360695836,0.4875476859504886,0.0,
Cambodia,0106,2020-06-01,3132000.0,2020,6,14.95718265537758,0.2318015307656669,0.7921419166159538,0.0,
Cambodia,0106,2020-07-01,6793240.0,2020,7,15.73143870524175,0.7742560498641691,0.5136851445602524,0.0,
Cambodia,0106,2020-08-01,4619680.0,2020,8,15.345836213054977,-0.3856024921867735,0.6204550884430624,0.0,
Cambodia,0106,2020-09-01,8379730.0,2020,9,15.94132637170438,0.5954901586494028,0.9841437163267984,0.0,
Cambodia,0106,2020-10-01,3456180.0,2020,10,15.055674780219867,-0.8856515914845122,-0.675763925021883,0.0,
Cambodia,0106,2020-11-01,8645530.0,2020,11,15.972553098000963,0.916878317781098,0.6267168849459885,0.0,
Cambodia,0106,2020-12-01,6296080.0,2020,12,15.655437934307928,-0.3171151636930371,-0.2858884373964514,0.0,
Cambodia,0106,2021-01-01,6832680.0,2021,1,15.737227687468971,0.0817897531610434,0.6815529072491042,0.0,
Cambodia,0106,2021-02-01,6910200.0,2021,2,15.748509283598654,0.0112815961296828,-0.2240438144023109,0.0,
Cambodia,0106,2021-03-01,769680.0,2021,3,13.553731422275543,-2.194777861323109,-2.101706512032383,0.0,
Cambodia,0106,2021-04-01,9932200.0,2021,4,16.111292663021203,2.557561240745658,0.3740649755522316,0.0,
Cambodia,0106,2021-05-01,2873500.0,2021,5,14.871041704937529,-1.2402509580836742,-0.8774675786611255,0.0,
Cambodia,0106,2021-06-01,4762400.0,2021,6,15.376262510799458,0.5052208058619296,1.8225310885239128,0.0,
Cambodia,0106,2021-07-01,5866200.0,2021,7,15.584717793189908,0.2084552823904495,-0.5265748698312951,0.0,
Cambodia,0106,2021-08-01,10186200.0,2021,8,16.13654451919881,0.5518267260089029,1.265502814261282,0.0,
Cambodia,0106,2021-09-01,7392400.0,2021,9,15.815963138667794,-0.3205813805310171,0.4397006278683353,0.0,
Cambodia,0106,2021-10-01,5031000.0,2021,10,15.431129528241076,-0.3848336104267176,-0.1535882649488318,0.0,
Cambodia,0106,2021-11-01,8874500.0,2021,11,15.998692666392936,0.5675631381518613,-0.1378518528058734,0.0,
Cambodia,0106,2021-12-01,17046000.0,2021,12,16.651426188729168,0.6527335223362307,0.8354630500613744,0.0,
Cambodia,0106,2022-01-01,22680000.0,2022,1,16.936994080915536,0.2855678921863678,1.5058645526744598,0.0,
Cambodia,0106,2022-02-01,16164000.0,2022,2,16.598297167046375,-0.3386969138691604,0.5996045006534381,0.0,
Cambodia,0106,2022-03-01,15840000.0,2022,3,16.578049007481866,-0.0202481595645096,-0.0733771812473023,0.0,
Cambodia,0106,2022-04-01,26640000.0,2022,4,17.097924441173998,0.5198754336921318,0.1609303602584617,0.0,
Cambodia,0106,2022-05-01,19440000.0,2022,5,16.782843408436896,-0.3150810327371012,0.184546241390521,0.0,
Cambodia,0106,2022-06-01,16920000.0,2022,6,16.644006971244004,-0.1388364371928929,0.0659579637621377,0.0,
Cambodia,0106,2022-07-01,6480000.0,2022,7,15.684231222649434,-0.95977574859457,-1.413693218524564,0.0,
Cambodia,0106,2022-08-01,22320000.0,2022,8,16.920993740280252,1.2367625176308188,0.1381503318433559,0.0,
Cambodia,0106,2022-09-01,16635000.0,2022,9,16.627019527548928,-0.2939742127313245,-0.0169874436950756,0.0,
Cambodia,0106,2022-10-01,21024000.0,2022,10,16.86117524783116,0.2341557202822315,1.1769440251817258,0.0,
