theta,ycol,n_rows,pos_rate
0.1,Y_struct_abn_t10,52033,0.24901504814252493
0.15,Y_struct_abn_t15,52033,0.21278803836027135
0.2,Y_struct_abn_t20,52033,0.18144254607652835
0.25,Y_struct_abn_t25,52033,0.15676589856437262
